                                                                                                                                                                                                                                                                



                        1                         2                         3                         4                         5                         6
                 Re(freq)                  Im(freq)                         l                       n_g                       n_p                      n_pg
  0.3985297766308006E+005   0.0000000000000000E+000                         0                         0                      2989                      2989
  0.4005330479706101E+005   0.0000000000000000E+000                         0                         0                      3004                      3004
  0.4027952306581582E+005   0.0000000000000000E+000                         0                         0                      3021                      3021
  0.4045331949748212E+005   0.0000000000000000E+000                         0                         0                      3034                      3034
  0.4067957862277055E+005   0.0000000000000000E+000                         0                         0                      3051                      3051
  0.4087983283991723E+005   0.0000000000000000E+000                         0                         0                      3066                      3066
  0.4107987008638075E+005   0.0000000000000000E+000                         0                         0                      3081                      3081
  0.4127957804307776E+005   0.0000000000000000E+000                         0                         0                      3096                      3096
  0.4148003115497887E+005   0.0000000000000000E+000                         0                         0                      3111                      3111
  0.4165291902503897E+005   0.0000000000000000E+000                         0                         0                      3124                      3124
  0.4185313746144610E+005   0.0000000000000000E+000                         0                         0                      3139                      3139
  0.4205318999253730E+005   0.0000000000000000E+000                         0                         0                      3154                      3154
  0.4230634313251910E+005   0.0000000000000000E+000                         0                         0                      3173                      3173
  0.4247997402506614E+005   0.0000000000000000E+000                         0                         0                      3186                      3186
  0.4273283679475373E+005   0.0000000000000000E+000                         0                         0                      3205                      3205
  0.4293329438219820E+005   0.0000000000000000E+000                         0                         0                      3220                      3220
  0.4310621563756512E+005   0.0000000000000000E+000                         0                         0                      3233                      3233
  0.4330636514013588E+005   0.0000000000000000E+000                         0                         0                      3248                      3248
  0.4350648002047305E+005   0.0000000000000000E+000                         0                         0                      3263                      3263
  0.4370612006177585E+005   0.0000000000000000E+000                         0                         0                      3278                      3278
  0.4390657841185365E+005   0.0000000000000000E+000                         0                         0                      3293                      3293
  0.4413274893485344E+005   0.0000000000000000E+000                         0                         0                      3310                      3310
  0.4433313761998276E+005   0.0000000000000000E+000                         0                         0                      3325                      3325
  0.4453295410432803E+005   0.0000000000000000E+000                         0                         0                      3340                      3340
  0.4473288065051367E+005   0.0000000000000000E+000                         0                         0                      3355                      3355
  0.4493320449429534E+005   0.0000000000000000E+000                         0                         0                      3370                      3370
  0.4510608934943260E+005   0.0000000000000000E+000                         0                         0                      3383                      3383
  0.4530646914097310E+005   0.0000000000000000E+000                         0                         0                      3398                      3398
  0.4550632632969192E+005   0.0000000000000000E+000                         0                         0                      3413                      3413
  0.4573297877338072E+005   0.0000000000000000E+000                         0                         0                      3430                      3430
  0.4593321005584041E+005   0.0000000000000000E+000                         0                         0                      3445                      3445
  0.4618625000587945E+005   0.0000000000000000E+000                         0                         0                      3464                      3464
  0.4635998584712829E+005   0.0000000000000000E+000                         0                         0                      3477                      3477
  0.4658619795108092E+005   0.0000000000000000E+000                         0                         0                      3494                      3494
  0.4678662092533060E+005   0.0000000000000000E+000                         0                         0                      3509                      3509
  0.4698644888034081E+005   0.0000000000000000E+000                         0                         0                      3524                      3524
